FittedIndex_ii,STA_Model_Index_k,Original_Cell_Index_iCell,DSI,OSI,F1F0,DataOriDeg,EnvOriDeg,FFTOriDeg,EnvMinusData,FFTMinusData
103,103,1240,0.244681600726606,1,0.16951990166067,90,11.9673735178313,78.0326264821687,-78.0326264821687,-11.9673735178313
116,116,1422,0.0622451169778923,0.572418822663098,1.07898386290685,60,164.395389720826,105.604610279174,-75.6046102791735,45.6046102791735
117,117,1430,0.0452403357118638,0.725200991499564,0.194210280322793,90,179.549554263519,90.4504457364807,89.5495542635193,0.450445736480731
118,118,1431,0.182223980110747,0.506842317099601,0.43759953609353,30,10.3466984028627,79.6533015971373,-19.6533015971373,49.6533015971373
123,123,1453,0.0460994474230023,1,0.281221132419456,90,169.623538415014,10.3764615849863,79.6235384150137,-79.6235384150137
139,139,1587,0.0878368006849545,0.572432340505077,0.330415192676456,90,22.7363362831104,67.2636637168896,-67.2636637168896,-22.7363362831104
141,141,1589,0.132071457419802,0.969902712861336,0.352424246855138,0,12.711543768208,167.288456231792,12.711543768208,-12.711543768208
148,148,1601,0.129706842657151,0.799226340631423,0.952975869977428,150,24.0839414567605,65.9160585432395,54.0839414567605,-84.0839414567605
152,152,1608,0.188155459592844,0.997058305885903,1.49816609003388,120,22.8841108808072,157.115889119193,82.8841108808072,37.1158891191928
157,157,1614,0.0991189427312774,0.563188451214971,0.471611110182237,120,53.2250007676922,126.774999232308,-66.7749992323078,6.77499923230781
164,164,1623,0.187618031037031,1,1.23781875543912,120,27.3964146707308,152.603585329269,87.3964146707308,32.6035853292692
166,166,1641,0.250636600951298,0.924714921195144,0.85579340611819,150,0.477267163087574,179.522732836912,30.4772671630876,29.5227328369124
168,168,1644,0.181540115438269,1,0.457592975015812,120,2.18527711097526,87.8147228890247,62.1852771109753,-32.1852771109753
169,169,1645,0.269666169961969,0.99587463148644,0.780006712530172,90,112.832559939492,67.1674400605081,22.8325599394919,-22.8325599394919
171,171,1672,0.059758048578886,0.807939461543825,1.50051289547594,90,4.44070750022333,85.5592924997767,-85.5592924997767,-4.44070750022333
172,172,1762,0.0385346928566855,0.919943410360406,0.165384982035987,0,163.721938748113,106.278061251887,-16.2780612518866,-73.7219387481134
189,189,1832,0.23207491338925,0.938130516923959,0.914650467005988,150,21.7762713330789,68.2237286669212,51.7762713330789,-81.7762713330788
190,190,1833,0.066808721678528,0.561513550092065,0.380867880313611,90,169.623106390676,100.376893609324,79.6231063906763,10.3768936093237
195,195,1841,0.00216734101934382,1,1.22225595016539,90,12.0079246435633,77.9920753564367,-77.9920753564367,-12.0079246435633
199,199,1850,0.279557257116864,1,1.35441374380695,150,48.9949352660706,41.0050647339294,78.9949352660706,71.0050647339294
201,201,1852,0.160368081379068,0.953182443061615,0.570621737068974,0,171.641227426822,8.35877257317803,-8.35877257317804,8.35877257317803
206,206,1861,0.144016035100456,1,0.89932543923471,0,179.999999999998,2.24531504500192e-12,-2.27373675443232e-12,2.24531504500192e-12
208,208,1863,0.113906697310592,1,1.21438301605075,90,7.87917380755421,82.1208261924458,-82.1208261924458,-7.87917380755422
