Rank,CellID,ParamAspectRatio,R2,SigmaEnvEff,CarrierScale_HalfLambda,SigmaC,SigmaS,Ac,As,Freq_cyclesPerPixel,OffsetMag,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
11,1839,1.46208642817579,0.767914594833989,3.46195924962823,5.06168363377909,3.46195924962823,3.97669995314275,5.72614388317937,6.10072118006888,0.0987813613366224,1.54304307130328,0.672763549351378,1,0.849588805796004,30,67.3207967066086,67.3207967066086,85.7012957687992
12,1328,1.48103431296823,0.701102698535918,4.2583375715754,6.30674405970497,4.2583375715754,4.59819712083518,3.70956610363671,2.57460441521028,0.0792802110354531,1.97387867757047,0.201938547997449,0.197564746236375,0.162828083520536,90,59.4521890993708,59.4521890993708,14.1798895702368
13,600,1.53465270876832,0.770741144931265,5.60995514254093,8.60933285556923,5.60995514254093,5.81902350221048,4.07202476971854,4.3736722151567,0.0580765093402747,2.445006858008,0.838473384580331,0.0688574098834377,0.0544635760149108,120,95.6531513551295,95.6531513551295,3.06919708087458
14,1860,1.56258828126527,0.711871709602729,4.18049988236161,6.53240012600908,4.18049988236161,4.18049988236416,3.60888527869376,3.07350194646987,0.076541545275101,2.18662083426979,0.338732267351887,1,0.612329362265432,150,116.337004501547,116.337004501547,177.702470003956
15,775,1.56697126224155,0.637797357311982,4.42357369582087,6.93161285775895,4.42357369582087,4.55165941482458,5.30304847705475,5.64650344110969,0.0721332841663714,1.77717808157799,0.225196825160181,0.837304242158571,0.285985894346829,150,141.626257963468,141.626257963468,66.6365289645534
16,1831,1.58028961723655,0.665642930208111,4.36251393917514,6.89403548312822,4.36251393917514,5.12827639096148,3.55440984070318,3.92166088770791,0.0725264616382742,1.86087345661172,NaN,NaN,0.498911494867685,0,66.5431132593658,66.5431132593658,110.214971163547
17,1847,1.64379299937773,0.760581030515488,2.72169295144025,4.47389982003319,2.72169295144025,3.02399872811693,7.23225436571494,7.74373458328338,0.11175931963454,1.23805842575238,0.734353280253017,1,1.38837091466217,90,94.4506335871703,94.4506335871703,78.9145731705
18,1592,1.66385095507705,0.78638466067385,2.8184834999956,4.68953646333659,2.8184834999956,3.33156626233832,6.36613442907229,6.76836963256531,0.106620345935908,1.14703130365874,1,1,1.06414138710626,90,83.7143650875003,83.7143650875003,111.897651441471
19,1431,1.70835402015665,0.69993632687161,6.12339446241425,10.4609255468704,6.12339446241425,6.96858444649988,4.3354340669041,4.38233984130777,0.0477969179457154,1.81951015917401,0.182223980110747,0.506842317099601,0.43759953609353,30,95.6688107513239,95.6688107513239,175.098250785131
20,1856,1.71458507692717,0.842070944969474,4.11705255052159,7.05903686404924,4.11705255052159,4.1235910994465,6.98560059753428,5.1658749626721,0.0708311926442026,1.48829468892138,0.944410487022201,0.943672095535337,0.221724947289277,30,57.8294425994235,57.8294425994235,123.037322462188
