Rank,CellID,EnvelopeAspectRatio,R2,SigmaC,OffsetMag,LongAxis,ShortAxis,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
12,131,1.10298597020675,0.921513303794646,2.69082171854715,0.554233770675923,5.93587720777022,5.38164343709429,0.472965409157058,0.963179005051269,0.433693331369471,30,3.89392058068249,3.89392058068249,NaN
13,1566,1.10382051858906,0.841417457494218,2.9586245760167,0.614331875584773,6.53158102761817,5.9172491520334,0.402754590984975,0.97309909415317,1.11006501160073,60,55.969678234201,55.969678234201,NaN
14,358,1.10388621538281,0.888478109709177,2.28964196628275,0.475724476917523,5.05500840948302,4.5792839325655,0.163194358788491,0.246991217259488,0.725239929026661,60,71.2527124698688,71.2527124698688,NaN
15,231,1.10466776286939,0.674128135869262,2.83319041871547,0.593087405819853,6.2594682432508,5.66638083743095,0.00468035076420761,1,1.10297185034748,90,80.5160749251837,80.5160749251837,NaN
16,801,1.10537602080656,0.809059446337195,3.29418661215195,0.694256553965622,7.28262977826952,6.5883732243039,0.760143085757319,1,1.30517653383849,30,58.1710277748861,58.1710277748861,NaN
17,1618,1.10766927136142,0.560375881472939,3.11813370041275,0.671454367061853,6.90772176788736,6.23626740082551,0.900946655660263,0.473117045786903,1.05090011354247,30,66.2258320217522,66.2258320217522,NaN
18,1235,1.11400889393666,0.927513161669907,2.71783950333544,0.619715751345252,6.05539475801613,5.43567900667088,0.322393940009342,0.3545024220376,0.510111621302275,60,111.892725330129,111.892725330129,NaN
19,776,1.1178342822636,0.866567254986652,2.47532510225784,0.583356313587237,5.53400651810293,4.95065020451569,0.0728604346268005,0.126876328908141,0.37221364477873,120,78.7324049016571,78.7324049016571,NaN
20,60,1.12180018745261,0.874815519940353,5.28642159538293,1.28777428254237,11.8606174733082,10.5728431907659,NaN,NaN,0.299216465157033,0,48.2657573283835,48.2657573283835,82.4155494726692
21,1575,1.12383755048609,0.457604859020821,2.96706712228387,0.734868649102885,6.66900289367062,5.93413424456773,0.465760057259542,0.101582223209768,0.32125467467454,90,49.5250030714816,49.5250030714816,NaN
