cellID,R2_DoG,R2_Gabor,deltaR2_DoG_minus_Gabor,winner
1347,0.755707677818312,0.692385338505876,0.0633223393124356,Elliptical nonconcentric DoG
1348,0.747968107621177,0.728703796610221,0.0192643110109558,Elliptical nonconcentric DoG
1353,0.646328800563124,0.618565910685775,0.0277628898773481,Elliptical nonconcentric DoG
1422,0.919264146580171,0.86851280747516,0.0507513391050111,Elliptical nonconcentric DoG
1430,0.744374517555932,0.724879754057761,0.0194947634981708,Elliptical nonconcentric DoG
1431,0.719008461525206,0.643972160227188,0.075036301298018,Elliptical nonconcentric DoG
1438,0.749799783842899,0.773123005427415,-0.0233232215845158,Elliptical Gabor
1440,0.448482466731793,0.494068055923299,-0.0455855891915059,Elliptical Gabor
1443,0.775033075194508,0.773432574092411,0.00160050110209731,Elliptical nonconcentric DoG
1450,0.841956240721672,0.827849463288287,0.0141067774333851,Elliptical nonconcentric DoG
1453,0.410804303318323,0.360174256876284,0.0506300464420391,Elliptical nonconcentric DoG
1455,0.57931573935036,0.544886345255611,0.0344293940947482,Elliptical nonconcentric DoG
1510,0.566322651206446,0.573490118746606,-0.00716746754015951,Elliptical Gabor
1517,0.918537058990328,0.898194251333717,0.0203428076566108,Elliptical nonconcentric DoG
1532,0.777085191803057,0.786821899528092,-0.00973670772503432,Elliptical Gabor
1545,0.650258095252093,0.590476773503897,0.0597813217481962,Elliptical nonconcentric DoG
1546,0.712261712133085,0.743689931687802,-0.0314282195547169,Elliptical Gabor
1563,0.846067491605093,0.810958315457473,0.0351091761476194,Elliptical nonconcentric DoG
1564,0.620957763802909,0.539145111346796,0.0818126524561127,Elliptical nonconcentric DoG
1565,0.774326845439929,0.757399441970903,0.0169274034690261,Elliptical nonconcentric DoG
1566,0.817057515265135,0.832664080958561,-0.0156065656934257,Elliptical Gabor
1571,0.825320525766688,0.776623939146456,0.0486965866202325,Elliptical nonconcentric DoG
1575,0.476163415871169,0.325403556679412,0.150759859191757,Elliptical nonconcentric DoG
1580,0.856759291228616,0.817625681770047,0.0391336094585688,Elliptical nonconcentric DoG
1581,0.486203003588954,0.49167443696904,-0.00547143338008604,Elliptical Gabor
1584,0.693113413074298,0.616457846896067,0.0766555661782314,Elliptical nonconcentric DoG
1587,0.770006042606462,0.823070849340552,-0.0530648067340902,Elliptical Gabor
1588,0.805415185400326,0.79028720244959,0.0151279829507358,Elliptical nonconcentric DoG
1589,0.844763696883528,0.843280778061053,0.0014829188224752,Elliptical nonconcentric DoG
1590,0.887698348464232,0.843830105184862,0.0438682432793698,Elliptical nonconcentric DoG
1592,0.805814213361257,0.714409676012473,0.0914045373487843,Elliptical nonconcentric DoG
1593,0.830113836269325,0.819442205891669,0.0106716303776562,Elliptical nonconcentric DoG
1596,0.628544570944385,0.613900567473969,0.0146440034704156,Elliptical nonconcentric DoG
1597,0.839998369131625,0.819267977181139,0.0207303919504861,Elliptical nonconcentric DoG
1599,0.831534048152595,0.80974958973017,0.0217844584224248,Elliptical nonconcentric DoG
1601,0.893118053683296,0.835240169961267,0.0578778837220285,Elliptical nonconcentric DoG
1602,0.833264580702348,0.75876293806582,0.0745016426365271,Elliptical nonconcentric DoG
1605,0.78163951791403,0.702028589926393,0.0796109279876364,Elliptical nonconcentric DoG
1606,0.8345809575305,0.692448483485729,0.142132474044771,Elliptical nonconcentric DoG
1608,0.52658347693099,0.288402904092923,0.238180572838067,Elliptical nonconcentric DoG
1610,0.798557391292883,0.797456208979208,0.00110118231367506,Elliptical nonconcentric DoG
1611,0.771638813448031,0.895920876955939,-0.124282063507908,Elliptical Gabor
1612,0.864787576139314,0.817480275030363,0.0473073011089512,Elliptical nonconcentric DoG
1613,0.40251767446233,0.34546028018158,0.05705739428075,Elliptical nonconcentric DoG
1614,0.671638812403047,0.683837724253391,-0.0121989118503436,Elliptical Gabor
1616,0.654280778868274,0.662340434398358,-0.00805965553008425,Elliptical Gabor
1618,0.496039567821515,0.491412095585431,0.00462747223608362,Elliptical nonconcentric DoG
1619,0.811876342668738,0.822553966198286,-0.010677623529548,Elliptical Gabor
1620,0.576492407510227,0.59786879790656,-0.0213763903963339,Elliptical Gabor
1621,0.88296147553564,0.899550008406029,-0.016588532870389,Elliptical Gabor
1622,0.890035014007029,0.915607854749852,-0.0255728407428227,Elliptical Gabor
1623,0.668166806259536,0.569197897864365,0.0989689083951704,Elliptical nonconcentric DoG
1635,0.735855986475964,0.717644692337638,0.0182112941383257,Elliptical nonconcentric DoG
1641,0.724599456470652,0.641714223953975,0.0828852325166778,Elliptical nonconcentric DoG
1642,0.651670329163168,0.642856240293507,0.00881408886966151,Elliptical nonconcentric DoG
1644,0.571018312054879,0.567605786758496,0.00341252529638281,Elliptical nonconcentric DoG
1645,0.615041795638972,0.613114719246435,0.00192707639253697,Elliptical nonconcentric DoG
