cellID,DoG_effectiveAR,DoG_majorAxisPix,DoG_minorAxisPix,DoG_effectiveThetaDeg,DoG_R2,Gabor_AR,Gabor_R2,Gabor_AR_raw,AR_difference_DoG_minus_Gabor,AR_ratio_DoG_over_Gabor,DoG_larger_AR,Gabor_larger_AR
913,1.28667553288697,2.32280330228652,1.80527510076666,147.110439124673,0.735104861249252,1.02419995461942,0.72317305840126,0.976371845643743,0.262475578267551,1.2562737647895,1,0
914,2.00332200627198,4.52848787042673,2.26048925547116,79.9717623255387,0.233092470523112,2.08387899215482,0.311709578952945,2.08387899215482,-0.0805569858828399,0.961342771731894,0,1
915,2.4535046792901,3.50059003350069,1.42677128886241,9.5970718062751,0.512760847784673,2.14478718841029,0.497552050195048,2.14478718841029,0.30871749087981,1.14393851872485,1,0
919,1.29986804605777,2.58005554939575,1.98485958418666,135.769410565539,0.793323085516824,1.24284340534914,0.790761420500775,0.804606594600773,0.0570246407086297,1.0458824019689,1,0
1015,1.96230164072012,3.41852745408656,1.74210089985556,9.59593810017557,0.904205867754104,1.24878432989812,0.898192119682723,0.800778786262945,0.713517310822002,1.57136952613764,1,0
1078,2.07518015154716,2.3752269506848,1.14458831389359,0.462242277913305,0.874101509023149,2.4220224824205,0.853546551138373,2.4220224824205,-0.34684233087334,0.856796403257696,0,1
1080,2.16548122664066,3.25465026941145,1.50296859163283,176.981008897571,0.529607896840509,1.10798121180235,0.608935474054064,1.10798121180235,1.05750001483831,1.95443858034206,1,0
1083,1.14646747411305,1.66787416274451,1.45479413974203,60.2761785912418,0.773355819763474,1.19480390095854,0.775813687567144,1.19480390095854,-0.04833642684549,0.959544468505073,0,1
1086,1.70624273039695,2.10756815857966,1.23521004428798,70.9916459891424,0.605810471761325,1.06672904289006,0.590562003580411,1.06672904289006,0.63951368750689,1.5995090241232,1,0
1095,1.50221188265542,2.34610816074069,1.56176914044479,38.1693945353055,0.794375193205352,2.53784314047105,0.792682038110363,2.53784314047105,-1.03563125781563,0.591924638169952,0,1
1235,2.13799508709719,2.50342411720145,1.17092136100294,147.549769043798,0.818435887573383,2.63732314757721,0.863077322342676,2.63732314757721,-0.49932806048002,0.810668608835921,0,1
1240,1.78839626112838,4.48871893414968,2.50991294922387,22.9040774067708,0.839205649613586,1.06128362931226,0.731133743798806,1.06128362931226,0.72711263181612,1.68512564571198,1,0
1248,2.05824360357715,4.36188490306959,2.11922675017126,25.0859067661133,0.772934092369135,1.267570623466,0.730139643147926,0.788910678022528,0.790672980111151,1.62377035683358,1,0
1252,1.38839263140504,2.83495051681587,2.0418939518189,162.066956359077,0.754124951741266,2.88338802526911,0.608262369325618,2.88338802526911,-1.49499539386407,0.481514322469817,0,1
1255,1.82627206852325,2.2866214365334,1.25207052987587,133.155996209859,0.716934896142602,2.3731983411547,0.701108820763394,2.3731983411547,-0.54692627263145,0.769540428565554,0,1
1322,1.47574141233705,1.97362901918057,1.33738133434573,173.652903696681,0.331536991782677,1.89205026228011,0.314251666403172,1.89205026228011,-0.41630884994306,0.779969455229289,0,1
1328,1.21631998774054,2.90749373192852,2.390402000488,92.1785263197451,0.644454911964692,1.48793960196892,0.644959997008674,0.672070290135935,-0.27161961422838,0.817452527058922,0,1
1329,1.6909330654886,3.59802316434435,2.12783299219753,173.344179538837,0.72316382156419,1.60757533596717,0.697577592737506,0.622054828552322,0.0833577295214287,1.05185307814596,1,0
1330,1.87252309485552,3.43890282007054,1.83650756005008,11.1958883336616,0.650655104627387,1.49485797151515,0.673249984440485,1.49485797151515,0.37766512334037,1.25264281325508,1,0
1334,2.19370075994662,4.05733069887472,1.84953698925347,9.54623976962469,0.737122245600899,2.04719739641612,0.7340824333831,0.488472680627002,0.146503363530503,1.07156289070462,1,0
1341,1.19714386660755,2.3955875620417,2.00108577495392,57.2863679903945,0.874442431598694,1.57061444696396,0.853713419663825,1.57061444696396,-0.37347058035641,0.762213711278195,0,1
1347,1.39480454820513,3.0361009697485,2.17672144362838,1.51714444854827,0.755707677818312,1.89357808968146,0.692385338505876,0.528100745065243,-0.498773541476333,0.736597321127519,0,1
1348,2.17153722974297,3.26424592965926,1.50319593187248,17.4662636575331,0.747968107621177,1.33183693769095,0.728703796610221,1.33183693769095,0.83970029205202,1.63048280783369,1,0
1353,1.65877014471749,2.83508552301722,1.70914911390576,129.596668959017,0.646328800563124,1.29115706977006,0.618565910685775,0.77449910891019,0.367613074947435,1.28471599897052,1,0
1422,1.45035876381643,2.32237255275371,1.60124005914418,14.0738397429575,0.919264146580171,1.87760606041622,0.86851280747516,1.87760606041622,-0.42724729659979,0.772451045186188,0,1
1430,2.22666289117352,4.45329076473535,1.99998427350102,0.32892226678274,0.744374517555932,1.79934533243351,0.724879754057761,0.555757686962489,0.427317558740007,1.2374850180438,1,0
1431,1.80237851383611,5.66588435904732,3.14355964385543,143.502323042178,0.719008461525206,1.10810871051276,0.643972160227188,1.10810871051276,0.69426980332335,1.62653582336889,1,0
1438,1.28939277762821,1.98426438634714,1.53891383663333,8.34262428041535,0.749799783842899,1.22553749855071,0.773123005427415,1.22553749855071,0.0638552790775,1.05210389657845,1,0
1440,2.11312523683198,3.11187170161267,1.47263950445172,177.654139425519,0.448482466731793,2.99999999999996,0.494068055923299,2.99999999999996,-0.88687476316798,0.704375078944003,0,1
1443,1.52599334354197,4.03924740721183,2.64696266488055,174.837971518028,0.775033075194508,1.06213803247657,0.773432574092411,1.06213803247657,0.4638553110654,1.43671848373967,1,0
1450,1.38467618533216,2.52392307903503,1.82275329479259,104.381810785037,0.841956240721672,1.12331779101487,0.827849463288287,0.890220032121579,0.261358394317289,1.23266647818438,1,0
1453,1.48493377047006,3.90293062626361,2.62835333391881,173.729717646531,0.410804303318323,1.56980381828023,0.360174256876284,0.637022275239163,-0.0848700478101736,0.945935889044307,0,1
1455,2.32813961618843,3.73970886991737,1.60630781930507,140.377440269836,0.57931573935036,1.17065134995812,0.544886345255611,0.854225299476033,1.15748826623031,1.98875576086058,1,0
1510,1.17189664391622,1.15987757833132,0.989743920125302,42.5406481685302,0.566322651206446,1.4666192409093,0.573490118746606,1.4666192409093,-0.29472259699308,0.799046276789364,0,1
1517,1.54308966497943,2.49316340561117,1.61569574483827,176.044151833443,0.918537058990328,1.15725222945289,0.898194251333717,1.15725222945289,0.38583743552654,1.3334082455896,1,0
1532,1.2993884329988,3.05527466135538,2.35131742269264,80.6696550338584,0.777085191803057,1.52918680178164,0.786821899528092,1.52918680178164,-0.22979836878284,0.849725116306847,0,1
1545,1.82443685113378,2.40245705900131,1.31682116457379,118.976949604074,0.650258095252093,1.61280312450927,0.590476773503897,1.61280312450927,0.21163372662451,1.13122105445381,1,0
1546,1.59282083244144,2.81888148128187,1.76974172102028,40.1138393211646,0.712261712133085,1.8817391764837,0.743689931687802,1.8817391764837,-0.28891834404226,0.846462066766264,0,1
1563,1.95530191169666,3.42786699478653,1.75311391774383,28.2923332139828,0.846067491605093,1.14110936564992,0.810958315457473,1.14110936564992,0.81419254604674,1.71350965170899,1,0
1564,2.66668000357034,3.68271036548845,1.38100948016176,16.6325057019767,0.620957763802909,2.01432497819777,0.539145111346796,2.01432497819777,0.65235502537257,1.32385788412168,1,0
1565,2.53412160966545,3.90096889222418,1.53937714644215,177.34105291582,0.774326845439929,2.01269371301444,0.757399441970903,2.01269371301444,0.52142789665101,1.25906967030272,1,0
1566,1.3655572246222,2.97096599042853,2.17564371295424,178.61364092176,0.817057515265135,1.07660547436431,0.832664080958561,1.07660547436431,0.28895175025789,1.26839149264823,1,0
1571,1.84766633844532,4.28522238439775,2.31926203082936,38.5091893453631,0.825320525766688,1.39696548454084,0.776623939146456,1.39696548454084,0.45070085390448,1.32262848215797,1,0
1575,1.40370833091634,5.63742090802631,4.01609136589379,0.0303129530661579,0.476163415871169,1.85808230557631,0.325403556679412,0.538189291722379,-0.454373974659972,0.755460792400668,0,1
1580,1.61719564786774,2.61398383752716,1.6163683355033,161.248399898213,0.856759291228616,1.47089012904274,0.817625681770047,0.679860432982037,0.146305518825002,1.09946733337603,1,0
1581,3.71878348965986,2.93897371662773,0.79030514274348,166.38484750524,0.486203003588954,2.9999999999982,0.49167443696904,2.9999999999982,0.71878348966166,1.23959449655403,1,0
1584,1.63869681365455,4.91217978988225,2.9976135603311,133.212112146336,0.693113413074298,1.30029482918407,0.616457846896067,0.76905635364827,0.338401984470481,1.26025019624421,1,0
1587,1.49847701250065,2.92276311973679,1.95048912686308,158.933131180795,0.770006042606462,2.28249680437693,0.823070849340552,2.28249680437693,-0.78401979187628,0.656507824951676,0,1
1588,1.5201867752253,2.51314930815269,1.65318456199583,170.240794864997,0.805415185400326,2.11977520562645,0.79028720244959,2.11977520562645,-0.59958843040115,0.717145276154905,0,1
1589,1.37947523226674,2.14721255047479,1.5565430246591,161.22270344658,0.844763696883528,1.44016538181583,0.843280778061053,0.694364697712114,-0.0606901495490899,0.957858902654243,0,1
1590,1.79139662957897,2.60970994418663,1.45680186123828,22.2121600851877,0.887698348464232,1.372406574724,0.843830105184862,0.728647048489335,0.418990054854971,1.30529586681646,1,0
1592,2.00638782369675,3.11110673113833,1.55060088303673,161.576034627514,0.805814213361257,1.68413881784514,0.714409676012473,0.593775281113407,0.322249005851609,1.19134349403805,1,0
1593,2.51635100934292,4.4058066469517,1.75087125388845,179.92071641068,0.830113836269325,1.59903395315847,0.819442205891669,0.625377590028506,0.917317056184448,1.57366952988867,1,0
1596,2.8386050851925,2.81053703866294,0.990112028377606,162.461253867145,0.628544570944385,1.72319338354182,0.613900567473969,1.72319338354182,1.11541170165068,1.64729339858425,1,0
1597,1.88991394883423,1.78854276267111,0.946362009643002,2.97803341208146,0.839998369131625,1.16103882805906,0.819267977181139,1.16103882805906,0.72887512077517,1.627778419774,1,0
1599,1.73471548057952,2.52873449967457,1.45772291075064,151.450271437296,0.831534048152595,2.46686448662565,0.80974958973017,2.46686448662565,-0.73214900604613,0.703206637407304,0,1
1601,2.15539746960505,2.86462836476558,1.32904877414117,5.39386642163936,0.893118053683296,1.97468446677432,0.835240169961267,1.97468446677432,0.18071300283073,1.09151487534914,1,0
1602,1.33353143099813,4.06580925910711,3.04890395876452,114.913420759769,0.833264580702348,1.6439874362815,0.75876293806582,0.608277154636827,-0.310456005283365,0.811156704466319,0,1
1605,2.16498170732386,2.67549342010474,1.23580416917791,170.476509818215,0.78163951791403,1.45459046637706,0.702028589926393,1.45459046637706,0.7103912409468,1.4883788649572,1,0
1606,1.63631611143946,3.35152487163029,2.04821357450424,141.540241540916,0.8345809575305,1.14367276957836,0.692448483485729,1.14367276957836,0.4926433418611,1.43075550539052,1,0
1608,1.15243690111915,2.60455019365877,2.26003713620195,39.1008403714439,0.52658347693099,1.09967973184663,0.288402904092923,0.909355670601255,0.0527571692725206,1.04797503104284,1,0
1610,1.53776519003539,1.86780057933574,1.21462014580572,77.649393927754,0.798557391292883,1.24316329417323,0.797456208979208,1.24316329417323,0.29460189586216,1.2369776337855,1,0
1611,1.44334667379573,2.64261112637614,1.83089147905581,5.0567790790308,0.771638813448031,1.75511900047342,0.895920876955939,1.75511900047342,-0.31177232667769,0.822363995493415,0,1
1612,1.4461464089821,1.62976846441281,1.12697335089325,178.568012885086,0.864787576139314,2.88010790741846,0.817480275030363,2.88010790741846,-1.43396149843636,0.502115356600764,0,1
1613,1.47589223427892,2.38243109912782,1.61423106903995,1.33915304405264,0.40251767446233,2.20392132370982,0.34546028018158,2.20392132370982,-0.7280290894309,0.669666479652086,0,1
1614,1.44623089046778,2.92794899039457,2.0245377205624,10.3060230751856,0.671638812403047,1.39035867844244,0.683837724253391,0.719238866563738,0.0558722120253363,1.04018546644951,1,0
