Rank,CellID,AspectRatio_sigmaS_vs_lambda,R2,SigmaC,DeltaSigma,SigmaS,Freq_cyclesPerPixel,Lambda_pixelsPerCycle,DSI,OSI,F1F0,DataOriDeg,FftDeg,EnvDeg,OffsetDeg
14,1517,1.32343704096849,0.946957845483531,4.68124210852077,1.29365661916951,35.8493923661417,0.0369165822240943,27.0880980782487,1,1,0.858692995849257,120,89.3170031900648,89.3170031900648,88.0267518596708
15,135,1.34676532813104,0.849525666657326,1.77060246729718,0.406570047266072,13.0630350873795,0.103097428669711,9.69956295615924,0.543664455000496,0.99535155346016,1.39139804879178,90,90.8411583104103,90.8411583104103,NaN
16,657,1.35628063850231,0.883538812289605,2.71881455118549,0.555337631792812,19.6449130978698,0.069039788150011,14.4844013400965,0.335892514395394,0.494887941139659,1.23479165951286,60,71.9269441280183,71.9269441280183,98.9080826594222
17,140,1.36223252167479,0.733457886993604,2.75854078696285,0.509791266943774,19.6099923234397,0.0694662445148699,14.3954809560194,1,1,1.53375722104621,60,76.9098428404765,76.9098428404765,72.0003870331512
18,1587,1.36558606636753,0.860204942420434,5.76135144215246,0.457245963930512,37.3115844364978,0.0365995196127809,27.3227629919708,0.0878368006849545,0.572432340505077,0.330415192676456,90,111.602677438306,111.602677438306,38.8260188533892
19,1810,1.38686529972947,0.681919284279442,2.59482015223561,0.812335096658294,20.4429314933634,0.0678408231314428,14.7403871863772,NaN,NaN,0.329302944250894,0,102.057937161882,102.057937161882,NaN
20,1836,1.39609701639111,0.852891637701163,2.74239203982025,0.0964068713271794,17.0327934668846,0.0819652407049625,12.2002935805379,NaN,NaN,0.496684412415417,0,97.5205808819671,97.5205808819671,94.4216370945986
21,1438,1.40212097937862,0.812345869414602,2.53815576167633,0.581038853014983,18.7151676881479,0.0749189642723088,13.3477552674819,0.30899194920059,0.356217801553215,0.124574787903864,120,127.778678705661,127.778678705661,66.5168043291666
22,915,1.40592726022353,0.574125247237508,3.28886267875449,0.0244924440729811,19.8801307369648,0.0707202220561545,14.1402270938285,0.0561438664985229,0.848876389561151,0.507734461034703,0,22.1379433765279,22.1379433765279,156.28736729499
23,1347,1.41236279297956,0.74454342253444,2.08150215988888,0.834542681468865,17.4962690481465,0.0807236553743545,12.3879424855393,0.725095279677288,0.867110322241284,1.10489492110861,120,110.563342643358,110.563342643358,106.17095684836
24,772,1.41354663914364,0.821284664384926,4.11840132451017,8.95442905005497e-14,24.7104079470615,0.0572045043599424,17.4811408854764,NaN,NaN,0.413801679981504,0,74.7354729963555,74.7354729963555,165.055369698564
25,1566,1.43117970667529,0.841417457494218,2.9586245760167,0.545441275449818,21.0243951087991,0.0680723368862257,14.6902551864992,0.402754590984975,0.97309909415317,1.11006501160073,60,55.969678234201,55.969678234201,NaN
26,621,1.43120846038311,0.865356072735894,5.13389633946964,1.7127046550254,41.0796059669702,0.0348398780050097,28.7027411478366,NaN,NaN,0.793475482882281,0,79.365501904994,79.365501904994,59.5967068482506
27,659,1.4382157478875,0.809657626753401,3.06699582493689,0.638411851394531,22.2324460579885,0.0646899465824061,15.4583525390014,0.151699029126213,1,0.95671981249897,90,106.683423830583,106.683423830583,74.8752284186988
28,1610,1.45507715148355,0.825822880887829,2.1119188619708,0.112935042325765,13.3491234257794,0.109001700341878,9.17416881446393,0.61946380063777,1,1.57334087403508,90,102.675401474031,102.675401474031,NaN
29,614,1.46484814837522,0.758887687103101,3.84588220967237,0.584533094855442,26.5824918271669,0.0551057499763121,18.1469265989459,0.160886155248021,0.504362270760649,1.07359817020936,30,48.6688609566964,48.6688609566964,49.0594541642783
30,766,1.486933372531,0.688816433826179,3.21421858045102,0.34431096854817,21.3511772939951,0.0696417509937118,14.3592024285876,0.483312983312983,0.350140080584699,0.268760596340152,60,84.574934088806,84.574934088806,138.58281894779
31,81,1.49087584892961,0.833910464554918,3.61322991228705,0.683765655699554,25.7819734079196,0.0578262891416856,17.2931726182499,0.212110562583409,0.382159216825867,0.233528913428427,90,53.3428147785541,53.3428147785541,163.576778140707
32,798,1.51567194165262,0.766219255622129,3.21382630357191,0.726954188063763,23.644682949814,0.0641020200976955,15.6001323901483,0.23223880135809,0.941312385597019,0.416010910676489,0,133.922601301062,133.922601301062,54.5306737936503
33,744,1.5241691910124,0.74336338799533,3.17832718292253,1.04506924292965,25.3403785551131,0.0601478461617086,16.6256992363697,0.167472344431771,0.702664539882098,0.398193509875583,90,88.6851577769195,88.6851577769195,NaN
34,1546,1.5463202029396,0.754366810911129,3.32230632084329,0.504541483130095,22.9610868238403,0.0673452530711251,14.8488565176802,1,0.0500561006108734,0.450413978798531,0,132.791938193248,132.791938193248,55.3963294763571
35,647,1.54941099412947,0.767511195125768,3.49495098179858,0.188549515081152,22.1010029812784,0.070105913086477,14.2641320250188,0.826446280991736,0.296779475274942,1.1899167294601,90,51.1494102517389,51.1494102517389,80.1633315455809
36,649,1.59838945117306,0.832974428830593,2.73773677636911,0.543714376922808,19.6887069197515,0.0811830587802379,12.3178408774544,0.916894373768142,0.338307457314248,1.58838877050065,150,77.4334570146872,77.4334570146872,110.550313032274
